fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
0.9,right,1,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.447000027,,,3,0,3,0,1,2,2,0,96,43,1,95
0.75,left,1,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.379999876,,,3,0,3,0,1,2,2,0,96,33,1,95
0.85,right,1,,,,,,,stim/lower.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.480999947,,,3,0,3,0,1,2,2,0,96,4,1,95
0.45,right,1,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.498000145,,,3,0,3,0,1,2,2,0,96,37,1,95
0.55,left,0,,,,,,,stim/centre.png,stim/incongRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.479999781,,,3,0,3,0,1,2,2,0,96,26,1,95
0.95,left,0,,,,,,,stim/both.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.363000154,,,3,0,3,0,1,2,2,0,96,21,1,95
0.6,left,1,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.565000057,,,3,0,3,0,1,2,2,0,96,47,1,95
0.75,right,1,,,,,,,stim/blank.png,stim/congLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.430000067,,,3,0,3,0,1,2,2,0,96,7,1,95
0.55,left,1,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.664000034,,,3,0,3,0,1,2,2,0,96,32,1,95
0.7,right,1,,,,,,,stim/upper.png,stim/congRight.png,right,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.381999969,,,3,0,3,0,1,2,2,0,96,8,1,95
1.5,left,1,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.546999931,,,3,0,3,0,1,2,2,0,96,34,1,95
1.15,right,0,,,,,,,stim/blank.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.444000006,,,3,0,3,0,1,2,2,0,96,31,1,95
0.7,left,1,,,,,,,stim/centre.png,stim/neutralRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.561999798,,,3,0,3,0,1,2,2,0,96,46,1,95
