fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.65,left,1,0.713000059,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,right,1,0.545000076,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.6,left,1,0.680000067,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.5,right,1,0.513000011,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.85,left,1,0.462999821,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.7,left,1,0.462999821,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.25,left,1,0.579999924,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,left,1,0.562999964,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.2,right,1,0.595999956,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.95,left,1,0.447999954,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.4,left,1,0.513000011,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.45,left,0,0.595000029,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
0.7,left,1,0.627000093,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.5,right,1,0.697000027,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.3,left,1,0.562999964,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,right,1,0.528000116,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.1,right,1,0.562000036,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.05,left,1,0.529999971,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.5,right,1,0.512000084,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.45,right,1,0.529999971,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
1.05,right,1,0.760999918,ster,001,2019-09-16_16h43.37.345,ANT,3.1.3,60,,
