fixDuration, resp.keys, resp.corr, resp.rt, instResp.keys, instResp.rt, pracLoop.thisRepN, pracLoop.thisTrialN, pracLoop.thisN, pracLoop.thisIndex, pracLoop.ran, pracLoop.order, cue, tar, corrAns, targOrientation, blockLoop.thisRepN, blockLoop.thisTrialN, blockLoop.thisN, blockLoop.thisIndex, blockLoop.ran, blockLoop.order, mainLoop.thisRepN, mainLoop.thisTrialN, mainLoop.thisN, mainLoop.thisIndex, mainLoop.ran, mainLoop.order, cue, tar, corrAns, targOrientation, mainLoop.thisRepN, mainLoop.thisTrialN, mainLoop.thisN, mainLoop.thisIndex, mainLoop.ran, mainLoop.order, cue, tar, corrAns, targOrientation, mainLoop.thisRepN, mainLoop.thisTrialN, mainLoop.thisN, mainLoop.thisIndex, mainLoop.ran, mainLoop.order, cue, tar, corrAns, targOrientation, participant, session, date, expName, psychopyVersion, frameRate
0.9500000000000004, left, 1, 1.11099999999999, undefined, undefined, 1, 0, 48, 3, 1, 47, stim/blank.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.2000000000000006, right, 0, 1.233000000000004, undefined, undefined, 1, 0, 48, 17, 1, 47, stim/both.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.4000000000000008, left, 1, 1.1499999999999773, undefined, undefined, 1, 0, 48, 0, 1, 47, stim/upper.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/congLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/congLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.4000000000000008, left, 1, 1.214999999999975, undefined, undefined, 1, 0, 48, 13, 1, 47, stim/both.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, left, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.55, right, 1, 1.4440000000000168, undefined, undefined, 1, 0, 48, 20, 1, 47, stim/lower.png, stim/incongLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/incongLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/incongLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/incongLeft.png, right, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.6500000000000001, left, 1, 1.0640000000000214, undefined, undefined, 1, 0, 48, 44, 1, 47, stim/lower.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralRight.png, left, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.9000000000000004, left, 1, 1.115000000000009, undefined, undefined, 1, 0, 48, 16, 1, 47, stim/upper.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/incongLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.9000000000000004, left, 1, 1.9460000000000264, undefined, undefined, 1, 0, 48, 14, 1, 47, stim/centre.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/congRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/congRight.png, left, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.55, right, 1, 1.1159999999999854, undefined, undefined, 1, 0, 48, 7, 1, 47, stim/blank.png, stim/congLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/congLeft.png, right, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.4500000000000008, right, 1, 1.0980000000000132, undefined, undefined, 1, 0, 48, 36, 1, 47, stim/lower.png, stim/neutralLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralLeft.png, right, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/lower.png, stim/neutralLeft.png, right, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.2500000000000007, left, 1, 0.9970000000000141, undefined, undefined, 1, 0, 48, 47, 1, 47, stim/blank.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/blank.png, stim/neutralRight.png, left, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.0500000000000005, left, 1, 1.531000000000006, undefined, undefined, 1, 0, 48, 45, 1, 47, stim/both.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralRight.png, left, 180, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralRight.png, left, 180, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.45, right, 1, 1.1329999999999814, undefined, undefined, 1, 0, 48, 25, 1, 47, stim/both.png, stim/incongRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/incongRight.png, right, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.8000000000000003, right, 1, 1.09699999999998, undefined, undefined, 1, 0, 48, 9, 1, 47, stim/both.png, stim/congRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, right, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/congRight.png, right, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.3500000000000008, left, 1, 1.031000000000006, undefined, undefined, 1, 0, 48, 18, 1, 47, stim/centre.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/incongLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/centre.png, stim/incongLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
1.4500000000000008, left, 1, 1.0989999999999895, undefined, undefined, 1, 0, 48, 32, 1, 47, stim/upper.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/upper.png, stim/neutralLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
0.7000000000000002, left, 1, 0.9979999999999905, undefined, undefined, 1, 0, 48, 33, 1, 47, stim/both.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralLeft.png, left, 0, undefined, undefined, undefined, undefined, undefined, undefined, stim/both.png, stim/neutralLeft.png, left, 0, cs210_June, 001, 2019-02-11_12h19.49.940, ANT, 3.0.0b12, 60
