fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.1,,0,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,,,,,,,,,,,,,,,
1.45,right,0,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.778000116,,,,,,,,,,,,,,
1.3,left,1,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.652999878,,,,,,,,,,,,,,
0.95,right,1,1,0,24,23,1,23,stim/blank.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.812000036,,,,,,,,,,,,,,
0.45,right,1,1,0,24,8,1,23,stim/upper.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.54399991,,,,,,,,,,,,,,
0.4,right,1,1,0,24,11,1,23,stim/blank.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.578000069,,,,,,,,,,,,,,
0.75,right,1,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.576999903,,,,,,,,,,,,,,
0.6,left,1,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.592999935,,,,,,,,,,,,,,
0.55,left,1,1,0,24,14,1,23,stim/centre.png,stim/congRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.578000069,,,,,,,,,,,,,,
1.3,right,1,1,0,24,21,1,23,stim/both.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.777999878,,,,,,,,,,,,,,
1.5,left,1,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.493999958,,,,,,,,,,,,,,
0.6,right,1,1,0,24,6,1,23,stim/centre.png,stim/congLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.477999926,,,,,,,,,,,,,,
0.45,right,1,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.478000164,,,,,,,,,,,,,,
0.5,right,1,1,0,24,9,1,23,stim/both.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.477999926,,,,,,,,,,,,,,
0.8,left,1,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.512000084,,,,,,,,,,,,,,
0.45,left,1,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.427000046,,,,,,,,,,,,,,
1.3,left,0,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.428000212,,,,,,,,,,,,,,
1.2,left,1,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.527999878,,,,,,,,,,,,,,
1,left,1,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.544999838,,,,,,,,,,,,,,
1.15,right,0,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.528000116,,,,,,,,,,,,,,
1.45,right,1,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.661000013,,,,,,,,,,,,,,
1.3,left,1,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.493999958,,,,,,,,,,,,,,
1.25,right,1,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.379000187,,,,,,,,,,,,,,
0.8,right,1,1,0,24,5,1,23,stim/both.png,stim/congLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.427999973,,,,,,,,,,,,,,
1.35,left,1,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,1.577000141,space,15.898,3,0,3,0,1,2,2,0,96,35,1,95
1.2,right,1,,,,,,,stim/both.png,stim/neutralLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.493999958,,,3,0,3,0,1,2,2,0,96,37,1,95
1.5,left,1,,,,,,,stim/blank.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.462000132,,,3,0,3,0,1,2,2,0,96,3,1,95
0.95,left,1,,,,,,,stim/centre.png,stim/congLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.427999973,,,3,0,3,0,1,2,2,0,96,2,1,95
1.35,right,1,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.463000059,,,3,0,3,0,1,2,2,0,96,38,1,95
0.7,left,1,,,,,,,stim/blank.png,stim/incongRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.75999999,,,3,0,3,0,1,2,2,0,96,31,1,95
0.55,left,1,,,,,,,stim/lower.png,stim/incongRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.661000013,,,3,0,3,0,1,2,2,0,96,28,1,95
0.8,left,1,,,,,,,stim/both.png,stim/congRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.493999958,,,3,0,3,0,1,2,2,0,96,13,1,95
0.55,right,1,,,,,,,stim/both.png,stim/incongRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.611999989,,,3,0,3,0,1,2,2,0,96,25,1,95
1.15,right,1,,,,,,,stim/centre.png,stim/congLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.511999846,,,3,0,3,0,1,2,2,0,96,6,1,95
1.4,left,1,,,,,,,stim/blank.png,stim/neutralRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.4599998,,,3,0,3,0,1,2,2,0,96,47,1,95
0.85,right,1,,,,,,,stim/lower.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.528000116,,,3,0,3,0,1,2,2,0,96,20,1,95
1.35,right,1,,,,,,,stim/both.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.562000036,,,3,0,3,0,1,2,2,0,96,9,1,95
1.25,left,0,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.511000156,,,3,0,3,0,1,2,2,0,96,22,1,95
1.25,left,1,,,,,,,stim/centre.png,stim/incongRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.826999903,,,3,0,3,0,1,2,2,0,96,30,1,95
0.9,left,1,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.528999805,,,3,0,3,0,1,2,2,0,96,33,1,95
1.2,right,1,,,,,,,stim/upper.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.495000124,,,3,0,3,0,1,2,2,0,96,8,1,95
1.35,left,1,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.544999838,,,3,0,3,0,1,2,2,0,96,44,1,95
1.35,right,1,,,,,,,stim/blank.png,stim/neutralRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.628000021,,,3,0,3,0,1,2,2,0,96,43,1,95
0.75,right,1,,,,,,,stim/centre.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.427999973,,,3,0,3,0,1,2,2,0,96,10,1,95
1.3,left,1,,,,,,,stim/both.png,stim/incongRight.png,left,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.57799983,,,3,0,3,0,1,2,2,0,96,29,1,95
1.1,right,1,,,,,,,stim/blank.png,stim/congRight.png,right,0,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.427999973,,,3,0,3,0,1,2,2,0,96,11,1,95
1.1,left,0,,,,,,,stim/both.png,stim/incongLeft.png,right,180,21,001,2020-04-23_12h31.30.285,ANT,3.1.3,60,0.680999994,,,3,0,3,0,1,2,2,0,96,21,1,95
