fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.9,left,1,1.042999983,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.95,right,1,0.794000149,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.55,right,1,1.129000187,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.95,right,1,1.011000156,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.5,right,1,0.960999966,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1,right,1,0.828000069,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.3,left,1,0.710999966,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.55,left,1,0.746000051,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.05,right,1,0.527999878,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.7,left,1,0.678999901,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.8,right,1,0.562000036,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.8,right,1,0.527000189,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.3,right,1,0.694999933,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.55,left,1,0.677000046,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.45,right,1,0.479000092,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.55,left,1,0.643000126,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.7,left,1,0.662000179,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.6,right,1,0.575999975,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.7,left,1,0.478999853,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.4,right,1,0.734000206,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.4,left,1,0.511000156,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.7,left,1,0.661999941,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.05,left,1,0.594000101,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.45,left,1,0.513000011,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.1,right,1,0.57799983,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,space,2.636999846
1,right,1,0.595000029,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.45,right,1,0.528000116,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.35,left,1,0.677000046,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.2,left,1,0.529000044,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.75,left,1,0.529000044,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.95,left,1,0.52699995,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.1,left,1,0.677999973,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.35,left,1,0.56099987,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
0.95,left,1,0.494999886,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.25,left,1,0.578999996,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.5,right,1,0.578999996,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.3,left,1,0.546000004,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.05,right,1,0.744000196,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.25,left,1,0.544000149,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
1.05,right,1,0.828000069,,001,2019-09-16_16h35.03.237,ANT,3.1.3,60,,
