fixDuration,resp.keys,resp.corr,participant,session,date,expName,psychopyVersion,frameRate
1.5,,0,1,001,2019-09-04_08h59.02.702,ANT,3.1.3,60
0.7,,0,1,001,2019-09-04_08h59.02.702,ANT,3.1.3,60
1.3,,0,1,001,2019-09-04_08h59.02.702,ANT,3.1.3,60
