fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
1.55,right,1,0.597000122,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,left,1,0.631999969,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,right,1,0.546000004,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.546999931,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.548000097,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,right,1,0.598999977,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.530999899,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,left,1,0.532000065,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.55,left,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,0,0.495999813,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.612999916,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,right,1,0.614000082,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,left,1,0.512000084,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.529999971,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.597000122,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.529999971,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.58100009,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.582000017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.59800005,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.549000025,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.446000099,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.59800005,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,left,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,1,0.413000107,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.580999851,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,right,0,0.395999908,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,0,0.411999941,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
