fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.8,right,1,0.507999897,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.6,right,1,0.609999895,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.8,right,1,0.50999999,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.2,left,1,0.50999999,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.7,left,1,0.493999958,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.4,left,1,0.546000004,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.5,right,1,0.593999863,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.05,right,1,0.526000023,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.7,right,1,0.442000151,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.1,left,0,0.361999989,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.45,left,1,0.694000006,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.55,left,1,0.559000015,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.5,left,1,0.527999878,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.05,right,1,0.576999903,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.5,left,1,0.526000023,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.35,left,1,0.743000031,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.9,left,1,0.578000069,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.15,right,1,0.526000023,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.5,left,1,0.609999895,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
0.8,left,1,0.625,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
1.55,left,1,0.610000134,sny,001,2019-10-05_11h18.09.150,ANT,3.1.3,60,,
