fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt
1.35,,0,1,0,24,18,1,23,stim/centre.png,stim/incongLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,
0.65,right,0,1,0,24,19,1,23,stim/blank.png,stim/incongLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.845000029
0.45,left,0,1,0,24,20,1,23,stim/lower.png,stim/incongLeft.png,right,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,1.586999893
1.2,right,1,1,0,24,22,1,23,stim/centre.png,stim/incongLeft.png,right,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.639999866
0.5,left,1,1,0,24,3,1,23,stim/blank.png,stim/congLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.589999914
0.4,right,0,1,0,24,16,1,23,stim/upper.png,stim/incongLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.508999825
0.85,left,1,1,0,24,2,1,23,stim/centre.png,stim/congLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.491999865
1.4,left,1,1,0,24,15,1,23,stim/blank.png,stim/congRight.png,left,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.448999882
0.85,right,0,1,0,24,17,1,23,stim/both.png,stim/incongLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.527000189
0.4,right,1,1,0,24,4,1,23,stim/lower.png,stim/congLeft.png,right,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.522000074
1.05,left,1,1,0,24,1,1,23,stim/both.png,stim/congLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.453999996
1.4,right,1,1,0,24,10,1,23,stim/centre.png,stim/congRight.png,right,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.438999891
1.1,left,1,1,0,24,12,1,23,stim/lower.png,stim/congRight.png,left,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.373000145
1.1,left,1,1,0,24,13,1,23,stim/both.png,stim/congRight.png,left,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,0.473999977
0.65,,0,1,0,24,0,1,23,stim/upper.png,stim/congLeft.png,left,0,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,
0.85,,0,1,0,24,7,1,23,stim/blank.png,stim/congLeft.png,right,180,,001,2019-10-25_21h12.36.199,ANT,3.1.3,60,
